author,content,title
René Chacón Linares,"¿Dónde está el Ángel
Que habitaba en mí?

Sonrisa inocente,
Escuálida delgadez,
Jugando sin censura
Entre sábanas y almohadas
A ser capitán.

Manos intentando
Tocar la torre de marfil,
                Ombligo de la tierra,
                Fuego de mi sangre.

El tiempo pasó,
Y aún tengo sueños
Insolentes,
Lienzos fogosos,
Envueltos en madejas
De araña.",Ángel inocente
Leopoldo Panero,"

Para inventar a Dios, nuestra palabra
busca, dentro del pecho,
su propia semejanza y no la encuentra,
como las olas de la mar tranquila,
una tras otra, iguales,
quieren la exactitud de lo infinito
medir, al par que cantan...
Y Su nombre sin letras,
escrito a cada instante por la espuma,
se borra a cada instante
mecido por la música del agua;
y un eco queda solo en las orillas.
   ¿Qué número infinito
nos cuenta el corazón?
                                Cada latido,
otra vez es más dulce, y otra y otra;
otra vez ciegamente desde dentro
va a pronunciar Su nombre.
Y otra vez se ensombrece  el pensamiento,
y la voz no le encuentra.
Dentro del pecho está.
                                Tus hijos somos,
aunque jamás sepamos
decirte la palabra exacta y Tuya,
que repite en el alma el dulce y fijo
girar de las estrellas.",ESCRITO A CADA INSTANTE
Hilario Barrero,"La soledad, el miedo y el silencio

viven en esta casa respetada,

principal y feliz en otro tiempo.

Familia virtuosa en ejercicio

de ejemplares conductas, concibieron

cinco hermosos varones que vivieron

dentro de la moral más absoluta.

Nada queda de aquello; desolados

corredores y vacíos salones

con historias de prisas y de llantos,

tiempo sucio en lámparas cegadas

por el polvo de una lluvia mortaja,

un agrio olor a crisantemo barro

mal cocido en el jardín del sexo

y el dragón del deseo destruyendo

la clausura de plata del silencio.

Queda sólo la mancha de unos dedos

en el visillo, como una mariposa

disecada que al contacto del aire

se deshace, y en el vidrio el reflejo,

la huella de unos ojos que furtivos

miraban bellos cuerpos oferentes,

convidando al carpe diem de la vida.

Hubiera dado algo por ser fuerte

y marcharse con ellos a otras tierras

donde morir y no pasar el tiempo

en aquellas paredes que le ahogaban.",Razón de vida
Pedro Miguel Lamet,"

Cuando escribes, tu letra se parece a tu calma
al colgar la ternura de la mórbida erre
y al achicar los nombres hasta el mismo tamaño
de la voz de retoño con que pides, preguntas.
Es tu letra un riachuelo, peregrino de mares,
un manantial que brota sin pedirte permiso
de un oculto venero con verdades antiguas.
Son amigas del orden tus graves consonantes
y la vocal te nace con olor a violeta.
Se desparrama un mundo en tus eses finales
y todo se hace limpio cuando escribes un punto.
Déjame que acurruque mi dolor en tu letra
y que subido al cuenco de la uve graciosa
escudriñe el misterio de esas olas marinas
con que las emes caen rendidas en la arena.
¡Qué mimado misterio ocultan tus palabras,
esas flores azules de tu tinta secreta!",A UNA LETRA
Antonio Fernández Lera,"Viento furioso, mano quieta,
manantial de agua clara.

Duele aún la presencia tangible
del amigo muerto.

Es un temblor,
un desajuste.

Alivia la conciencia
saber que no existe
olvido.",Cuadro soñado
Vicente García,"Soy el desconocido que se aparta.
El que se queda solo y en silencio, más allá del aplauso.
El que busca en la noche
Unas pocas palabras, ajenas casi siempre.
El que quemó las naves en silencio
Y aguarda todavía.
El que también soñaba.
El que también creía en tantas cosas.",El desconocido
Oscar Acosta,"

Frotó el indio la yesca,
el pedernal, el pino
con otro pino viejo,
la madera, las hojas
de roble, la corteza
de los ceibos caídos,
el cuerpo del animal
salvaje, el carbón
mineral endurecido.

El mundo cambió entonces
otro espejo movible
que no era el del agua,
alzó su brazo rojo
en la espesa maleza,
en el ámbito crudo
de miles de años
a la sombra, iluminados
solamente por el rayo
o por el centelleo
de los lúcidos ojos
de las fieras.

Tú te callaste entonces
viendo crecer la lengua
clarísima, la llama
que levantó su lanza,
su corona de espinas
y que lamió la noche
como animal salvaje.
Ante tu limpio rostro
de indígena doncella
nacía otro milagro:
el milagro del fuego.",EL FUEGO
Luis Benítez,"Esta mano que tiendo
y que te aguarda
es otro vano prodigio,
otro milagro inútil
de la serie infinita
que nos rodea en silencio.
En la mañana que ha dejado
atrás las dos vigilias,
la del insomnio y la del sueño,
que también es posible,
la contemplo a veces con ese solo asombro
que reservamos para lo extraño.
Ha viajado conmigo toda la noche.
Quizá, no lo recuerdo, ha palpado
cosas que no tienen forma.
A su tacto se han abierto
puertas y se han opuesto muros
que tal vez no existen.
Ha temblado de frío o ha sudado
bajo climas que no cambian. Posiblemente
ha sido cortada, como en una noche
de 1676, y permanece intacta.
Ha de viajar conmigo por todo el día.
Es mi remedo: hará girar cerraduras,
tocará lo que ha sido tocado y tocarán los otros.
Todo es un infinito pasamanos.
Aceptará la alevosa amistad e intentará
disuadir las amenazas, que no son otra cosa
que equívocos de amor entre los hombres.
Y no desdeño que las horas de luz
la obliguen a papeles menores:
encender un cigarrillo o dejar
la humillación de la limosna
son parte del misterio donde actúa la mano.
Como yo, mi mano es algo que está
en el mundo para aceptarlo todo.
Ahora, que en la tarde,
cuando contemplo lo que escribe
estas voces sin el honor de algunas precisiones,
oscuramente comprendo
jirones de su metáfora. Como un libro sagrado,
celosamente guardado por el enigma de su lengua,
se ha desgajado otra día
por el paso de la mano.",La mano
Santiago Montobbio,"Como las antes tan respetadas plañideras
han sido prohibidas en los días y en los cuadros
-pues cada vez se hizo más persistente el rumor
de que su oficio hacía cosquillas a los muertos-
quizá sí podría asegurarles que nunca como ahora
estuvo tan en suspenso el mundo. Y como acaso
también es verdad que ya hemos pasado todo
el miedo que nos dijeron
que tendríamos que pasar
y como puede que también sea cierto
que por las rendijas de una tarde
por fin llueva ya otro tiempo
como llueve un duelo o llueve un beso
tímidamente ahora se me ocurre
que tú y yo podríamos jugar
a parchís con el silencio
obligando a nuestro amor
a que hiciera de tablero.

Pero no. Es verdad: no estoy seguro,
no me atrevo. ¿Qué quieres?. Como tú
bien dices, alguien puede
estar mirando.",Como tú bien dices
José Martí,"Quiero, a la sombra de un ala,
contar este cuento en flor:
la niña de Guatemala,
la que se murió de amor.

Eran de lirios los ramos;
y las orlas de reseda
y de jazmín; la enterramos
en una caja de seda...

Ella dio al desmemoriado
una almohadilla de olor;
él volvió, volvió casado;
ella se murió de amor.

Iban cargándola en andas
obispos y embajadores;
detrás iba el pueblo en tandas,
todo cargado de flores...

Ella, por volverlo a ver,
salió a verlo al mirador;
él volvió con su mujer,
ella se murió de amor.

Como de bronce candente,
al beso de despedida,
era su frente -¡la frente
que más he amado en mi vida!...

Se entró de tarde en el río,
la sacó muerta el doctor;
dicen que murió de frío,
yo sé que murió de amor.

Allí, en la bóveda helada,
la pusieron en dos bancos:
besé su mano afilada,
besé sus zapatos blancos.

Callado, al oscurecer,
me llamó el enterrador;
nunca más he vuelto a ver
a la que murió de amor.",La niña de Guatemala
Antonio Fernández Lera,"Qué puedo hacer ahora
cuando la lluvia se derrama
sobre mi cuerpo congelado
con furia y estruendo
y es de noche ya para salir corriendo
hacia la calle.

No tengo llaves,
no recuerdo la dirección,
todo lo he perdido

y al alba retorna el silencio
y mi piel, en el aire caliente,
se ha secado. Poco a poco,
recuerdo los nombres de las calles
y los objetos perdidos
reaparecen.",Poema imprevisto: 3
Lope de Vega,"

Después que acabó Belardo
de distribuir sus bienes,
estando presente Filis
por cuya causa padece,

mandó que su testamento
segunda vez se leyese,
porque quiere confirmallo
por si desta vez muriese;

dijo, después de leído:
«Pido a Filis, si quisiere,
que después de sepultado
jamás de mi no se acuerde,

porque podrá su memoria
a aqueste siglo volverme,
a recebir por un gusto
dos mil desabridas muertes;

que se olvide de mi amor,
aunque mi amor no merece,
por ser amor verdadero,
paga tan torpe y aleve;

y que se olvide también
que me dijo muchas veces:
""Belardo, si te olvidare
cielos y tierra me dejen"";

y que rompa por su gusto
los desdichados papeles
do la descubrí mi pecho,
o por mejor, que los queme;

y que no tenga memoria
de los pasados placeres,
de que fue Belardo autor,
porque después no le pese.

Que se olvide de mis cosas,
pues que la enfadaron siempre,
y que se acuerde que dijo:
""Belardo, vivo con verte"".

De aquesto tenga memoria,
que pues vivía con verme,
no ha sido razón de amor
a tanto extremo traerme».

No puede la bella Filis
disimular, aunque quiere,
el amor mucho que brota
de lo que en el alma tiene.

Sin querer lo han descubierto
unas lágrimas que vierte
de su lastimado pecho
adonde amor vivió siempre.

Llorando llegó al pastor,
y como el pastor la siente,
procura recebilla
en el alma antes que llegue.

Y levantando sus brazos
espera ver lo que quiere,
y las lágrimas suaves
lengua y palabras detienen;

y estando las lenguas mudas
bien por los ojos la entiende
Belardo que dice Filis:
«Tuya soy mientras viviere».",Después que acabó Belardo
Claudio Rodríguez,"

Esta iluminación de la materia,
con su costumbre y con su armonía,
con sol madurador,
con el toque sin calma de mi pulso,
cuando el aire entra a fondo
en la ansiedad del tacto de mis manos
que tocan sin recelo,
con la alegría del conocimiento,
esta pared sin grietas,
y la puerta maligna, rezumando,
nunca cerrada,
cuando se va la juventud, y con ella la luz,
salvan mi deuda.

Salva mi amor este metal fundido,
este lino que siempre se devana
con agua miel,
y el cerro con palomas,
y la felicidad del cielo,
y la delicadeza de esta lluvia,
y la música del
cauce arenoso del arroyo seco,
y el tomillo rastrero en tierra ocre,
la sombra de la roca a mediodía,
la escayola, el cemento,
el zinc, el níquel,
la calidad del hierro, convertido, afinado
en acero,
los pliegues de la astucia, las avispas del odio,
los peldaños de la desconfianza,
y tu pelo tan dulce,
tu tobillo tan fino y tan bravío,
y el frunce del vestido,
y tu carne cobarde...
Peligrosa la huella, la promesa
entre el ofrecimiento de las cosas
y el de la vida.

Miserable el momento si no es canto.",SALVACIÓN DEL PELIGRO
Toni García Arias,"Qué poco dura
la huella de una página
o el sabor de un verso,
o el saber de tan débil arquitectura;
poesía;
mezcla de tejidos y piel y memoria,
alquimia de fluidos y sangre y fotos y nada
sobre la palma inerte de esta hoja
que mide su tiempo
en ausencias al cuadrado.",Ausencia
Octavio Paz,"
La mirada interior se despliega y un mundo de vértigo y llama nace bajo la frente del que sueña: 
soles azules, verdes remolinos, picos de luz que abren astros como granadas, 
tornasol solitario, ojo de oro girando en el centro de una explanada calcinada, 
bosques de cristal de sonido, bosques de ecos y respuestas y ondas, diálogo de transparencias, 
¡viento, galope de agua entre los muros interminables de una garganta de azabache, 
caballo, cometa, cohete que se clava justo en el corazón de la noche, plumas, surtidores, 
plumas, súbito florecer de las antorchas, velas, alas, invasión de lo blanco, 
pájaros de las islas cantando bajo la frente del que sueña! 
Abrí los ojos, los alcé hasta el cielo y vi cómo la noche se cubría de estrellas. 
¡Islas vivas, brazaletes de islas llameantes, piedras ardiendo, respirando, racimos de piedras vivas, 
cuánta fuente, qué claridades, qué cabelleras sobre una espalda oscura, 
cuánto río allá arriba, y ese sonar remoto de agua junto al fuego, de luz contra la sombra! 
Harpas, jardines de harpas. 
Pero a mi lado no había nadie. 
Sólo el llano: cactus, huizaches, piedras enormes que estallan bajo el sol. 
No cantaba el grillo, 
había un vago olor a cal y semillas quemadas, 
las calles del poblado eran arroyos secos 
y el aire se habría roto en mil pedazos si alguien hubiese gritado: ¿quién vive? 
Cerros pelados, volcán frío, piedra y jadeo bajo tanto esplendor, sequía, sabor de polvo, 
rumor de pies descalzos sobre el polvo, ¡y el pirú en medio del llano como un surtidor petrificado! 
Dime, sequía, dime, tierra quemada, tierra de huesos remolidos, dime, luna agónica, 
¿no hay agua, 
hay sólo sangre, sólo hay polvo, sólo pisadas de pies desnudos sobre la espina, 
sólo andrajos y comida de insectos y sopor bajo el mediodía impío como un cacique de oro? 
¿No hay relinchos de caballos a la orilla del río, entre las grandes piedras redondas y relucientes, 
en el remanso, bajo la luz verde de las hojas y los gritos de los hombres y las mujeres bahándose al alba? 
El dios-maíz, el dios-flor, el dios-agua, el dios-sangre, la Virgen, 
¿todos se han muerto, se han ido, cántaros rotos al borde de la fuente cegada? 
¿Sólo está vivo el sapo, 
sólo reluce y brilla en la noche de México el sapo verduzco, 
sólo el cacique gordo de Cempoala es inmortal? 
Tendido al pie del divino árbol de jade regado con sangre, mientras dos esclavos jóvenes lo abanican, 
en los días de las grandes procesiones al frente del pueblo, apoyado en la cruz: arma y bastón, 
en traje de batalla, el esculpido rostro de silex aspirando como un incienso precioso el humo de los fusilamientos, 
los fines de semana en su casa blindada junto al mar, al lado de su querida cubierta de joyas de gas neón, 
¿sólo el sapo es inmortal? 
He aquí a la rabia verde y fría y a su cola de navajas y vidrio cortado, 
he aqui al perro y a su aullido sarnoso, 
al maguey taciturno, al nopal y al candelabro erizados, he aquí a la flor que sangra y hace sangrar, 
la flor de inexorable y tajante geometría como un delicado instrumento de tortura, 
he aquí a la noche de dientes largos y mirada filosa, la noche que desuella con un pedernal invisible, 
oye a los dientes chocar uno contra otro, 
oye a los huesos machacando a los huesos, 
al tambor de piel humana golpeado por el fémur, 
al tambor del pecho golpeado por el talón rabioso, 
al tam-tam de los tímpanos golpeados por el sol delirante, 
he aqui al polvo que se levanta como un rey amarillo y todo lo descuaja y danza solitario y se derrumba 
como un árbol al que de pronto se le han secado las raíces, como una torre que cae de un solo tajo, 
he aquí al hombre que cae y se levanta y come polvo y se arrastra, 
al insecto humano que perfora la piedra y perfora los siglos y carcome la luz, 
he aquí a la piedra rota, al hombre roto, a la luz rota. 
¿Abrir los ojos o cerrarlos, todo es igual? 
Castillos interiores que incendia el pensamiento porque otro más puro se levante, sólo fulgor y llama, 
semilla de la imagen que crece hasta ser árbol y hace estallar el cráneo, 
palabra que busca unos labios que la digan, 
sobre la antigua fuente humana cayeron grandes piedras, 
hay siglos de piedras, años de losas, minutos espesores sobre la fuente humana. 
Dime, sequía, piedra pulida por el tiempo sin dientes, por el hambre sin dientes, 
polvo molido por dientes que son siglos, por siglos que son hambres, 
dime, cántaro roto caído en el polvo, dime, 
¿la luz nace frotando hueso contra hueso, hombre contra hombre, hambre contra hambre, 
hasta que surja al fin la chispa, el grito, la palabra, 
hasta que brote al fin el agua y crezca el árbol de anchas hojas de turquesa? 
Hay que dormir con los ojos abiertos, hay que soñar con las manos, 
soñemos sueños activos de río buscando su cauce, sueños de sol soñando sus mundos, 
hay que soñar en voz alta, hay que cantar hasta que el canto eche raíces, tronco, ramas, pájaros, astros, 
cantar hasta que el sueño engendre y brote del costado del dormido la espiga roja de la resurrección, 
el agua de la mujer, el manantial para beber y mirarse y reconocerse y recobrarse, 
el manantial para saberse hombre, el agua que habla a solas en la noche y nos llama con nuestro nombre, 
el manantial de las palabras para decir yo, tú, él, nosotros, bajo el gran árbol viviente estatua de la lluvia, 
para decir los pronombres hermosos y reconocernos y ser fieles a nuestros nombres 
hay que soñar hacia atrás, hacia la fuente, hay que remar siglos arriba, 
más allá de la infancia, más allá del comienzo, más allá de las aguas del bautismo, 
echar abajo las paredes entre el hombre y el hombre, juntar de nuevo lo que fue separado, 
vida y muerte no son mundos contrarios, somos un solo tallo con dos flores gemelas, 
hay que desenterrar la palabra perdida, soñar hacia dentro y también hacia afuera, 
descifrar el tatuaje de la noche y mirar cara a cara al mediodía y arrancarle su máscara, 
bañarse en luz solar y comer los frutos nocturnos, deletrear la escritura del astro y la del río, 
recordar lo que dicen la sangre y la marea, la tierra y el cuerpo, volver al punto de partida, 
ni adentro ni afuera, ni arriba ni abajo, al cruce de caminos, adonde empiezan los caminos, 
porque la luz canta con un rumor de agua, con un rumor de follaje canta el agua 
y el alba está cargada de frutos, el día y la noche reconciliados fluyen como un río manso, 
el día y la noche se acarician largamente como un hombre y una mujer enamorados, 
como un solo río interminable bajo arcos de siglos fluyen las estaciones y los hombres, 
hacia allá, al centro vivo del origen, más allá de fin y comienzo.",El cántaro roto
Toni García Arias,"Los ojos, almacén de imágenes,
van perdiendo lentamente
la nítida luz de los instantes.
También la piel recuerda,
como una hoja en blanco que se llena de voces, de roces,
de cálidas figuras.
También a esa hoja habrá de llegar la sentencia.
Lo que ayer fue un árbol es hoy
un pedazo de papel que adivina la ceniza.
Todo lo nacido surge de una matriz de polvo.
También mi cuerpo, joven, erguido,
como un árbol recio que se viste de palabras.
He aquí el espejo.
He aquí el cadáver.",Los espejos
Alfonso Reyes,"

Soy la Muerte me dijo. No sabía
que tan estrechamente me cercara,
al punto de volcarme por la cara
su turbadora vaharada fría.

Ya no intento eludir su compañía:
mis pasos sigue, transparente y clara
y desde entonces no me desampara
ni me deja de noche ni de día.

¡Y pensar confesé, que de mil modos
quise disimularte con apodos,
entre miedos y errores confundida!

«Más tienes de caricia que de pena».
Eras alivio y te llamé cadena.
Eras la muerte y te llamé la vida.",VISITACIÓN
José Cadalso,"

No basta que en su cueva se encadene
el uno y otro proceloso viento,
ni que Neptuno mande a su elemento
con el tridente azul que se serene;

ni que Amaltea el fértil campo llene
de fruta y flor, ni que con nuevo aliento
al eco den las aves dulce acento,
ni que el arroyo desatado suene.

En vano anuncias, verde primavera,
tu vuelta de los hombres deseada,
triunfante del invierno triste y frío.

Muerta Filis, el orbe nada espera,
sino niebla espantosa, noche helada,
sombras y susto como el pecho mío.",A LA PRIMAVERA
Óscar Hahn,"

Te estoy haciendo un destino aquí mismo.
Lo estoy dibujando en las alas de un pájaro.
Lo estoy pintando en la pared de mi cuarto.

Ahora el pájaro vuela con furia,
ahora lanza su grito de guerra
y se dispara contra la pared.

Sus plumas están flotando en el espacio.
Sus plumas mojándose en su sangre.

Coge una y te escribe este poema.",ESO SERÍA TODO
Ramón María del Valle-Inclán,"

Bajo la sensación del cloroformo
me hacen temblar con alarido interno,
la luz de acuario de un jardín moderno.
y el amarillo olor del yodoformo.

Cubista, futurista y estridente,
por el caos febril de la modorra
vuela la sensación, que al fin se borra,
verde mosca, zumbándome en la frente.

Pasa mis nervios, con gozoso frío,
el arco de lunático violín;
de un si bemol el transparente pío

tiembla en la luz acuaria del jardín,
y va mi barca por el ancho río
que divide un confín de otro confín.",ROSA DE SANATORIO
Odette Alonso,"

A Radhis Curí

Saltó desde mi ojo a la ventana
desnuda está en la acera mojada a la intemperie
bajo una luna extraña.
De pronto ya no baila
me sigue el rastro ajeno taciturno
la ira del zapato sobre el lomo.
Salta la bailarina
me recorre la espalda
habla de Irlanda en mis hombros y no entiendo
la hago saltar a punta de pistola
dolor para gritar malas palabras
y no aguantar ni un poco
y no tener piedad.
Gritar para que salte disparar
y ver su cuerpecito llevado por el aire
danzando a contraluz.",BAILARINA
María Eugenia Caseiro,"Primero.

Duelen las farolas. Un papel 
volante gris escapa 
la calle que me lleva al parque
regresa a mi
al ojo de mi padre
abriéndome la puerta.

Segundo.

Alrededor las formas
que vagaron
la vida más querible
cuando aún no la sabía. 
Después todos los bancos                                  
lánguidamente recostados a mi espalda
fueron tibio hospedaje del adiós.

Tercero.

Eran tus manos de azahar
dormidas sobre mí,   
besé llorada la pintura
que rompió la noche 
-dos mitades como dos fantasmas 
aplazaron el mar-
nosotros sombra tumbada
en el instante en que te pierdo.

Cuarto.

Y así reconocimos el amor
que habíamos usado
tanto tiempo tanto tanto
ajado en los cajones a limpiar
enjabonados aposentos
soy aún el cuadro a remozar                          

Quinto.

Quedamos olvidados 
en las tablas,
apenas un galeón 
nos mira y pasa. El casco
hundido no nos ve 
cubiertos de salitre
¿a quienes reclamar
nuestra verdad?",Residuos
Jorge Guillén,"

Albor. El horizonte
entreabre sus pestañas,
y empieza a ver. ¿Qué? Nombres.
Están sobre la pátina

de las cosas. La rosa
se llama todavía
hoy rosa, y la memoria
de su tránsito, prisa.

Prisa de vivir más.
A lo largo amor nos alce
esa pujanza agraz
del Instante, tan ágil

que en llegando a su meta
corre a imponer Después.
Alerta, alerta, alerta,
yo seré, yo seré.

¿Y las rosas? Pestañas
cerradas: horizonte
final. ¿Acaso nada?
Pero quedan los nombres.",LOS NOMBRES
Luis de Góngora,"

Por una negra señora
un negro galán doliente
negras lágrimas derrama
de un negro pecho que tiene.

Hablóla una negra noche,
y tan negra, que parece
que de su negra pasión
el negro luto le viene.

Lleva una negra guitarra,
negras las cuerdas que tiene,
negras también las clavijas,
pues negro es el que las tuerce.

«Negras pascuas me dé Dios,
si más negros no me tienen
los negros amores tuyos
que el negro color de allende.

»Un negro favor te pido,
si negros favores vendes,
y si con negros favores
un negro pagarse debe.»

La negra señora entonces,
entafada del negrete,
con estas negras razones
al galán negro entristece:

«Vaya muy en hora negra
el negro que tal pretende,
que para galanes negros
se hicieron negros desdenes.»

El negro señor entonces,
no queriendo ennegrecerse
más de lo negro, quitóse
el negro sombrero y fuese.",LUTO POÉTICO
Pablo Neruda,"Cien sonetos de amor

Cantas y a sol y a cielo con tu canto 
tu voz desgrana el cereal del día, 
hablan los pinos con su lengua verde: 
trinan todas las aves del invierno. 
El mar llena sus sótanos de pasos, 
de campanas, cadenas y gemidos, 
tintinean metales y utensilios, 
suenan las ruedas de la caravana. 
Pero sólo tu voz escucho y sube 
tu voz con vuelo y precisión de flecha, 
baja tu voz con gravedad de lluvia, 
tu voz esparce altísimas espadas, 
vuelve tu voz cargada de violetas 
y luego me acompaña por el cielo.",Cien sonetos de amor
Teresa Domingo Català,"Vendrá el deshielo y se llevará consigo
todo el agua del amanecer que sobra.
Con una jeringuilla de manzana,
inoculará paz a los cadáveres
que sollozan pan con manos de arcilla.",Deshielo
Claribel Alegría,"

Fui la nube
y la lluvia
y el mar
y quiero ser la tarde
y la muralla
y tú.",FRONTERAS
Fray Luis de León,"

Virtud, hija del cielo,
la más ilustre empresa de la vida,
en el escuro suelo
luz tarde conocida,
senda que guía al bien, poco seguida;

tú dende la hoguera
al cielo levantaste al fuerte Alcides,
tú en la más alta esfera
con las estrellas mides
al Cid, clara victoria de mil lides.

Por ti el paso desvía
de la profunda noche, y resplandece
muy más que el claro día
de Leda el parto, y crece
el Córdoba a las nubes, y florece;

y por su senda agora
traspasa luengo espacio con ligero
pie y ala voladora
el gran Portocarrero,
osado de ocupar el bien primero.

Del vulgo se descuesta,
hollando sobre el oro; firme aspira
a lo alto de la cuesta;
ni violencia de ira,
ni blando y dulce engaño le retira.

Ni mueve más ligera,
ni más igual divide por derecha
el aire, y fiel carrera,
o la traciana flecha
o la bola tudesca un fuego hecha.

En pueblo inculto y duro
induce poderoso igual costumbre
y, do se muestra escuro
el cielo, enciende lumbre,
valiente a ilustrar más alta cumbre.

Dichosos los que baña
el Miño, los que el mar monstruoso cierra,
dende la fiel montaña
hasta el fin de la tierra,
los que desprecia de Eume la alta sierra.",ODA II - A DON PEDRO PORTOCARRERO
Luciano Castañón,"Estáis ahí:
tú, Maximino, tocas el laúd,
tu vieja madre, ex-artista
canta con voz cascada
estrangulada e íntima.
La Traga y otras dos vacas marinas,
bajo el parlante mirar de La Muda,
atienden el bar.
¿El bar?
Ángulo de habitación
con marineros de mirada erecta,
hombres de profesión indefinida
y un niño en andador
que come sesos y son las tres de la mañana.

Maximino,
como todas las noches,
una voz de abeja y misteriosa
te cita por teléfono
en el muelle;
no vayas,
tu madre dice
que quien te llama es un m.",Maximino
Paz Díez Taboada,"Tenía aquel camino un horizonte abierto
y, sobre los ribazos, pequeñas flores cándidas.
     ¿Cómo encontrar ahora en el mapa su huella,
si se apagan las luces sobre el telón de fondo?",Pérdida
Vicente Aleixandre,"

Hermoso es, hermosamente humilde y confiante, vivificador y profundo,
sentirse bajo el sol, entre los demás, impelido,
llevado, conducido, mezclado, rumorosamente arrastrado.

No es bueno
quedarse en la orilla
como el malecón o como el molusco que quiere calcáreamente imitar a la roca.
Sino que es puro y sereno arrasarse en la dicha
de fluir y perderse,
encontrándose en el movimiento con que el gran corazón de los hombres palpita extendido.

Como ese que vive ahí, ignoro en qué piso,
y le he visto bajar por unas escaleras
y adentrarse valientemente entre la multitud y perderse.
La gran masa pasaba. Pero era reconocible el diminuto corazón afluido.
Allí, ¿quién lo reconocería? Allí con esperanza, con resolución o con fe, con temeroso denuedo,
con silenciosa humildad, allí él también
transcurría.

Era una gran plaza abierta, y había olor de existencia.
Un olor a gran sol descubierto, a viento rizándolo,
un gran viento que sobre las cabezas pasaba su mano,
su gran mano que rozaba las frentes unidas y las reconfortaba.

Y era el serpear que se movía
como un único ser, no sé si desvalido, no sé si poderoso,
pero existente y perceptible, pero cubridor de la tierra.

Allí cada uno puede mirarse y puede alegrarse y puede reconocerse.
Cuando, en la tarde caldeada, solo en tu gabinete,
con los ojos extraños y la interrogación en la boca,
quisieras algo preguntar a tu imagen,

no te busques en el espejo,
en un extinto diálogo en que no te oyes.
Baja, baja despacio y búscate entre los otros.
Allí están todos, y tú entre ellos.
Oh, desnúdate y fúndete, y reconócete.

Entra despacio, como el bañista que, temeroso, con mucho amor y recelo al agua,
introduce primero sus pies en la espuma,
y siente el agua subirle, y ya se atreve, y casi ya se decide.
Y ahora con el agua en la cintura todavía no se confía.
Pero él extiende sus brazos, abre al fin sus dos brazos y se entrega completo.
Y allí fuerte se reconoce, y se crece y se lanza,
y avanza y levanta espumas, y salta y confía,
y hiende y late en las aguas vivas, y canta, y es joven.

Así, entra con pies desnudos. Entra en el hervor,  en la plaza.
Entra en el torrente que te reclama y allí sé tú mismo.
¡Oh pequeño corazón diminuto, corazón que quiere latir
para ser él también el unánime corazón que le alcanza!",EN LA PLAZA
Guillermo Valencia,"

Hay un instante del crepúsculo
en que las cosas brillan más,
fugaz momento palpitante
de una morosa intensidad.

Se aterciopelan los ramajes,
pulen las torres su perfil,
burila un ave su silueta
sobre el plafondo de zafir.

Muda la tarde, se concentra
para el olvido de la luz,
y la penetra un don süave
de melancólica quietud,

como si el orbe recogiese
todo su bien y su beldad,
toda su fe, toda su gracia
contra la sombra que vendrá...

Mi ser florece en esa hora
de misterioso florecer;
llevo un crepúsculo en el alma,
de ensoñadora placidez;

en él revientan los renuevos
de la ilusión primaveral,
y en él me embriago con aromas
de algún jardín que hay ¡más allá!...",HAY UN INSTANTE
Juan Luis Panero,"

Por la noche, con la luz apagada,
miraba a través de los cristales,
entre los conocidos huecos de la persiana.
Como un rito o una extraña costumbre
la escena se repetía, día tras día,
igual siempre a sí misma.
Frente a frente su ventana,
la veía aparecer y bajo la tenue claridad de la luz,
lentamente, irse haciendo desnuda.
Sus ropas caían sobre la silla,
primero grandes, luego más pequeñas,
hasta llegar al ocre color de su cuerpo.
Andando o sentada, sus movimientos tenían
la inútil inocencia del que no se cree observado
y la imprevista ternura del cansancio.
Cuando todo volvía a la oscuridad,
los apresurados golpes del corazón
se aquietaban con una sosegada plenitud.
De quien así, ocultamente deseé,
nunca supe su nombre
y el romper de su risa es aún el vacío.
Sin embargo allí, en la perdida frontera de los catorce años,
por encima del Latín imposible
y de los misteriosos números de la Química,
el temblor detenido de mis manos,
la turbia fijeza de mis ojos sobre ella, permanecen,
dando fe de aquel tiempo, memoria de la carne.",MEMORIA DE LA CARNE
